comparison,split,condition,metric,observed_reference,observed_candidate,observed_difference,bootstrap_mean_difference,bootstrap_std,ci_low,ci_high,includes_zero,analysis_type,interpretation
A1_vs_A0,known_test,resize_112,average_precision,0.828739943673442,0.8523387576125907,0.023598813939148755,0.02337235347672386,0.016232981287055456,-0.008092548020474622,0.0553173872058499,True,secondary_ablation,not clearly distinguishable from zero under this fixed-sample bootstrap
A1_vs_A0,known_test,blur_sigma2,roc_auc,0.6862688519544474,0.8088642659279777,0.12259541397353024,0.1222433114035088,0.02226266777918785,0.07905196791320404,0.16497576177285314,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A1_vs_A0,known_test,blur_sigma2,average_precision,0.6829759378080117,0.8116069867167173,0.12863104890870558,0.12681540282219503,0.024925937284458882,0.07643135310539385,0.17431053458090373,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A1_vs_A0,known_test,screenshot_strong,roc_auc,0.8133271775931055,0.7827793167128347,-0.030547860880270727,-0.03047051400430902,0.015756507574222246,-0.06155884502923985,-0.0002880694059710296,False,secondary_ablation,consistent negative difference under the current fixed-sample bootstrap
A1_vs_A0,known_test,screenshot_strong,average_precision,0.8011524879106092,0.7978653668106858,-0.0032871210999234624,-0.0038268735473495925,0.01715443243437118,-0.037462431937845944,0.030262004157152706,True,secondary_ablation,not clearly distinguishable from zero under this fixed-sample bootstrap
A3_vs_A0,known_test,original,roc_auc,0.951927516158818,0.9227069867651584,-0.0292205293936596,-0.02932699676823637,0.008698155861799289,-0.0472669475223147,-0.013291589719913724,False,secondary_ablation,consistent negative difference under the current fixed-sample bootstrap
A3_vs_A0,known_test,original,average_precision,0.9573603801739043,0.933953066487804,-0.023407313686100384,-0.023494705541428674,0.008661189549786666,-0.04097824367758619,-0.006862699364198457,False,secondary_ablation,consistent negative difference under the current fixed-sample bootstrap
A3_vs_A0,known_test,jpeg_q50,roc_auc,0.9072406894429056,0.9016235764850724,-0.005617112957833181,-0.005704728377962446,0.010518443188161688,-0.026258079409048896,0.0146593182517696,True,secondary_ablation,not clearly distinguishable from zero under this fixed-sample bootstrap
A3_vs_A0,known_test,jpeg_q50,average_precision,0.913641465008496,0.9124902314019396,-0.0011512336065565565,-0.0012741538143772068,0.011166526266535096,-0.02292704093252744,0.020677627149499816,True,secondary_ablation,not clearly distinguishable from zero under this fixed-sample bootstrap
A3_vs_A0,known_test,resize_112,roc_auc,0.8307556171129578,0.8540897199138197,0.0233341028008619,0.023385837950138506,0.014722165639220372,-0.0047711795937211005,0.05271044936903649,True,secondary_ablation,not clearly distinguishable from zero under this fixed-sample bootstrap
A3_vs_A0,known_test,resize_112,average_precision,0.828739943673442,0.8614887469959414,0.03274880332249941,0.03251680980562822,0.017036975128205286,0.00026840515815601556,0.06659741646139547,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A3_vs_A0,known_test,blur_sigma2,roc_auc,0.6862688519544474,0.8072483841181901,0.12097953216374269,0.12053898314866114,0.020535343035391587,0.07992699676823631,0.16120440904893818,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A3_vs_A0,known_test,blur_sigma2,average_precision,0.6829759378080117,0.8029311820437744,0.11995524423576276,0.11895527733181088,0.023218817504755136,0.07299519928493368,0.16400264428604916,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
